date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
13-01-2023,Haryana,Bhiwani,1,PM2.5,253,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Indore,1,PM10,173,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Belgaum,1,PM2.5,207,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Mysuru,1,PM10,57,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Gaya,3,PM2.5,334,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Singrauli,1,PM2.5,239,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Aurangabad,1,PM2.5,156,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Chandrapur,2,PM2.5,209,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Araria,1,PM2.5,368,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Ujjain,1,PM10,159,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Gujarat,Surat,1,PM2.5,150,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Agra,6,PM10,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Vellore,1,PM2.5,99,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Prayagraj,3,"PM2.5,PM10",198,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Thoothukudi,1,O3,145,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Gurugram,4,PM2.5,311,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Bileipada,1,PM2.5,298,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Rourkela,3,PM2.5,224,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Chengalpattu,1,PM2.5,102,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,NOIDA,4,PM2.5,324,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Gorakhpur,1,PM2.5,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Arunachal Pradesh,Naharlagun,1,PM10,36,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Delhi,Delhi,37,PM2.5,378,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Eloor,1,PM10,62,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Hubballi,2,PM2.5,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Dharuhera,1,PM2.5,404,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Thrissur,1,PM10,139,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Assam,Guwahati,4,PM2.5,273,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Rupnagar,1,PM10,239,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Panipat,1,PM10,135,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Madikeri,1,O3,53,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Kannur,1,PM2.5,94,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Andhra Pradesh,Rajamahendravaram,1,PM2.5,184,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Telangana,Hyderabad,14,"PM2.5,PM10",112,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Mandikhera,1,PM10,152,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Gummidipoondi,1,PM2.5,202,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Mumbai,16,"PM2.5,PM10",134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Haveri,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Andhra Pradesh,Amaravati,1,PM2.5,88,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
